Date,Close/Last,Volume,Open,High,Low,newclose,newhigh,newopen
10/25/2013,$18.7842,337264625,$18.9755,$19.0439,$18.7539,18.7842, 19.0439, 18.9755
10/24/2013,$18.9968,384017886,$18.75,$19.0168,$18.6589,18.9968, 19.0168, 18.75
10/23/2013,$18.7486,312951115,$18.5357,$18.7739,$18.5357,18.7486, 18.7739, 18.5357
10/22/2013,$18.5667,532799747,$18.8002,$18.8732,$18.1439,18.5667, 18.8732, 18.8002
10/21/2013,$18.6201,394801242,$18.2775,$18.725,$18.2686,18.6201, 18.725, 18.2775
10/18/2013,$18.1747,288780964,$18.0711,$18.1879,$18.0611,18.1747, 18.1879, 18.0711
10/17/2013,$18.0179,252467639,$17.8564,$18.0279,$17.8457,18.0179, 18.0279, 17.8564
10/16/2013,$17.8969,249798260,$17.8854,$17.9475,$17.8296,17.8969, 17.9475, 17.8854
10/15/2013,$17.81,318862752,$17.768,$17.9286,$17.6971,17.81, 17.9286, 17.768
10/14/2013,$17.7157,260866936,$17.4939,$17.7707,$17.4768,17.7157, 17.7707, 17.4939
10/11/2013,$17.6004,267188213,$17.3925,$17.6371,$17.3271,17.6004, 17.6371, 17.3925
10/10/2013,$17.4871,276745897,$17.5471,$17.585,$17.3943,17.4871, 17.585, 17.5471
10/9/2013,$17.3781,301216880,$17.3086,$17.4211,$17.0814,17.3781, 17.4211, 17.3086
10/8/2013,$17.1764,289041924,$17.4979,$17.5229,$17.1621,17.1764, 17.5229, 17.4979
10/7/2013,$17.4196,311556715,$17.3771,$17.5946,$17.3339,17.4196, 17.5946, 17.3771
10/4/2013,$17.2511,258552177,$17.2807,$17.3071,$17.0929,17.2511, 17.3071, 17.2807
10/3/2013,$17.2646,315209314,$17.5182,$17.5839,$17.1692,17.2646, 17.5839, 17.5182
10/2/2013,$17.4843,287196445,$17.3439,$17.5643,$17.2768,17.4843, 17.5643, 17.3439
10/1/2013,$17.4271,352776899,$17.0875,$17.4693,$17.085,17.4271, 17.4693, 17.0875
09/30/2013,$17.0268,259059760,$17.0446,$17.2021,$16.9433,17.0268, 17.2021, 17.0446
09/27/2013,$17.2411,227151253,$17.2779,$17.3096,$17.1686,17.2411, 17.3096, 17.2779
09/26/2013,$17.365,236202978,$17.3571,$17.4486,$17.2821,17.365, 17.4486, 17.3571
09/25/2013,$17.1975,316045954,$17.4714,$17.4871,$17.1939,17.1975, 17.4871, 17.4714
09/24/2013,$17.4679,361925335,$17.6743,$17.6954,$17.4221,17.4679, 17.6954, 17.6743
09/23/2013,$17.5229,759771296,$17.7179,$17.7468,$17.2357,17.5229, 17.7468, 17.7179
09/20/2013,$16.6932,697701481,$17.0714,$17.0911,$16.6429,16.6932, 17.0911, 17.0714
09/19/2013,$16.8679,403247439,$16.8107,$16.9939,$16.7589,16.8679, 16.9939, 16.8107
09/18/2013,$16.5957,454546498,$16.5421,$16.6554,$16.4521,16.5957, 16.6554, 16.5421
09/17/2013,$16.2614,398818120,$15.9986,$16.4182,$15.9821,16.2614, 16.4182, 15.9986
09/16/2013,$16.0757,546255421,$16.4643,$16.4861,$15.9721,16.0757, 16.4861, 16.4643
09/13/2013,$16.6036,297981761,$16.7622,$16.851,$16.5964,16.6036, 16.851, 16.7622
9/12/2013,$16.8818,403426919,$16.7321,$16.9786,$16.6432,16.8818, 16.9786, 16.7321
9/11/2013,$16.7039,896690121,$16.6789,$16.9175,$16.6004,16.7039, 16.9175, 16.6789
9/10/2013,$17.6657,741487583,$18.0786,$18.1232,$17.4821,17.6657, 18.1232, 18.0786
9/9/2013,$18.0775,337917025,$18.0357,$18.14,$17.9814,18.0775, 18.14, 18.0357
9/6/2013,$17.7936,357928337,$17.8014,$17.835,$17.4982,17.7936, 17.835, 17.8014
9/5/2013,$17.6882,235116802,$17.8661,$17.8814,$17.63,17.6882, 17.8814, 17.8661
9/4/2013,$17.8104,344063862,$17.8414,$17.9372,$17.7243,17.8104, 17.9372, 17.8414
9/3/2013,$17.4493,331867627,$17.6107,$17.8786,$17.4054,17.4493, 17.8786, 17.6107
08/30/2013,$17.4006,272214407,$17.5714,$17.6054,$17.375,17.4006, 17.6054, 17.5714
08/29/2013,$17.5607,239216868,$17.5589,$17.7321,$17.5404,17.5607, 17.7321, 17.5589
08/28/2013,$17.532,306986837,$17.3571,$17.7071,$17.3571,17.532, 17.7071, 17.3571
08/27/2013,$17.4496,423386991,$17.7857,$17.9468,$17.3679,17.4496, 17.9468, 17.7857
08/26/2013,$17.9632,329417348,$17.8839,$18.2214,$17.875,17.9632, 18.2214, 17.8839
08/23/2013,$17.8936,222238907,$17.9739,$17.9768,$17.8339,17.8936, 17.9768, 17.9739
08/22/2013,$17.9629,243465727,$18.035,$18.0568,$17.7929,17.9629, 18.0568, 18.035
08/21/2013,$17.9414,335131866,$17.9854,$18.1125,$17.9,17.9414, 18.1125, 17.9854
08/20/2013,$17.8954,358034457,$18.2039,$18.2347,$17.8864,17.8954, 18.2347, 18.2039
08/19/2013,$18.1336,509606516,$18.0122,$18.3479,$18,18.1336, 18.3479, 18.0122
08/16/2013,$17.9404,361257815,$17.8625,$17.9622,$17.8164,17.9404, 17.9622, 17.8625
08/15/2013,$17.7825,489547324,$17.7293,$17.9428,$17.4673,17.7825, 17.9428, 17.7293
08/14/2013,$17.8036,753707619,$17.7814,$18.0089,$17.6214,17.8036, 18.0089, 17.7814
08/13/2013,$17.4846,877803009,$16.8193,$17.6664,$16.7161,17.4846, 17.6664, 16.8193
8/12/2013,$16.6914,363936574,$16.3164,$16.7375,$16.3082,16.6914, 16.7375, 16.3164
8/9/2013,$16.2304,266575573,$16.38,$16.445,$16.2018,16.2304, 16.445, 16.38
8/8/2013,$16.4646,255758982,$16.5663,$16.575,$16.3554,16.4646, 16.575, 16.5663
8/7/2013,$16.6064,298488841,$16.5643,$16.6786,$16.4918,16.6064, 16.6786, 16.5643
8/6/2013,$16.6161,334812106,$16.715,$16.8532,$16.5061,16.6161, 16.8532, 16.715
8/5/2013,$16.7661,318310593,$16.5961,$16.8096,$16.5054,16.7661, 16.8096, 16.5961
8/2/2013,$16.5193,273644955,$16.3575,$16.5304,$16.3093,16.5193, 16.5304, 16.3575
8/1/2013,$16.3099,205544138,$16.2769,$16.3143,$16.1879,16.3099, 16.3143, 16.2769
07/31/2013,$16.1618,322499391,$16.2496,$16.3337,$16.0511,16.1618, 16.3337, 16.2496
07/30/2013,$16.19,308960556,$16.07,$16.3268,$16.0439,16.19, 16.3268, 16.07
07/29/2013,$15.9925,248025441,$15.7429,$16.0711,$15.7214,15.9925, 16.0711, 15.7429
07/26/2013,$15.7496,200082264,$15.5464,$15.7514,$15.5121,15.7496, 15.7514, 15.5464
07/25/2013,$15.6607,229432412,$15.7393,$15.7643,$15.5646,15.6607, 15.7643, 15.7393
07/24/2013,$15.7325,591624923,$15.6761,$15.8782,$15.545,15.7325, 15.8782, 15.6761
07/23/2013,$14.9639,354477618,$15.2143,$15.2486,$14.9539,14.9639, 15.2486, 15.2143
07/22/2013,$15.2254,207648981,$15.3379,$15.3482,$15.1953,15.2254, 15.3482, 15.3379
07/19/2013,$15.1768,268548901,$15.4679,$15.4993,$15.1554,15.1768, 15.4993, 15.4679
07/18/2013,$15.4199,218632537,$15.4779,$15.5311,$15.3789,15.4199, 15.5311, 15.4779
